Player,STT,LIR,NS,A3N,TOTAL,Test,Type,Code
P1,0.0,10.0,0.0,0.0,10.0,L8x8-31696645,LE,"for(u) (attack(Worker,closest,u))"
P2,0.0,0.0,0.0,0.0,0.0,L8x8-31696644,LE,"for(u) (harvest(2,u) train(Worker,8,EnemyDir))"
P3,4.0,10.0,6.0,9.0,29.0,L8x8-31696609,MP,"attack(Worker,closest) train(Worker,17,EnemyDir)"
P4,0.0,10.0,0.0,0.0,10.0,L8-42826046,ME,"train(Worker,14,Left) attack(Worker,lessHealthy)"
P5,3.0,10.0,2.0,4.0,19.0,L8x8-31696645,LE,"for(u) (attack(Worker,closest,u) train(Worker,10,Left))"
P6,9.0,10.0,6.0,7.0,32.0,L8x8-31696644,ME,"train(Worker,10,Down) harvest(1) attack(Worker,closest)"
P7,0.0,10.0,0.0,1.0,11.0,L8-42826052,MP,"attack(Worker,lessHealthy) for(u) (train(Worker,18,Right))"
P8,0.0,10.0,0.0,0.0,10.0,L8x8-31696632,LE,"for(u) (train(Worker,10,Right)) attack(Worker,lessHealthy)"
P9,2.0,10.0,1.0,1.0,14.0,L8x8-31696632,MP,"harvest(1) attack(Worker,lessHealthy) train(Worker,8,Left)"
P10,7.0,10.0,10.0,9.0,36.0,L8x8-31696644.,MP,"harvest(1) train(Worker,15,EnemyDir) attack(Worker,closest)"
P11,6.0,10.0,10.0,8.5,34.5,L8-42826052,LE,"harvest(1) train(Worker,11,EnemyDir) attack(Worker,closest)"
P12,0.0,10.0,0.0,0.0,10.0,L8x8-31696632,ME,"for(u) (attack(Worker,lessHealthy,u) train(Worker,9,EnemyDir))"
P13,0.0,10.0,0.0,0.0,10.0,L8x8-31696609,LE,"for(u) (train(Worker,3,EnemyDir) attack(Worker,lessHealthy,u))"
P14,5.0,10.0,7.0,8.5,30.5,L8x8-31696644,LE,"harvest(1) attack(Worker,closest) for(u) (train(Worker,6,Left))"
P15,9.0,10.0,10.0,7.0,36.0,L8-42826052,LE,"harvest(1) for(u) (attack(Worker,closest,u) train(Worker,10,Down))"
P16,10.0,10.0,9.0,9.0,38.0,L8-42826046,LE,"for(u) (train(Worker,9,EnemyDir) harvest(1,u) attack(Worker,closest,u))"
P17,3.0,10.0,1.0,2.0,16.0,L8x8-31696609,LE,"attack(Worker,closest) for(u) (if(HaveUnitsToDistantToEnemy(Worker,2,u)) (train(Worker,4,Left)))"
P18,1.0,10.0,0.0,0.0,11.0,L8x8-31696645,MP,"for(u) (if(HaveQtdUnitsAttacking(Worker,8)) (train(Worker,16,Up) harvest(1,u)) attack(Worker,closest,u))"
P19,0.5,10.0,0.0,0.0,10.5,L8x8-31696632,LE,"for(u) (attack(Worker,lessHealthy,u)) train(Worker,6,EnemyDir) for(u) (moveToUnit(Worker,Enemy,farthest,u))"
P20,9.0,10.0,10.0,9.0,38.0,L8x8-31696609,LE,"for(u) (if(HaveUnitsToDistantToEnemy(Worker,5,u)) (attack(Worker,closest,u)) (train(Worker,19,Right))) harvest(5)"
P21,8.5,10.0,7.5,8.5,34.5,L8-42826052,ME,"for(u) (if(HaveUnitsToDistantToEnemy(Worker,6,u)) (harvest(1,u) attack(Worker,closest,u)) (train(Worker,16,EnemyDir)))"
P22,4.5,10.0,3.0,2.0,19.5,L8-42826046,MP,"for(u) (attack(Worker,closest,u)) for(u) (train(Worker,2,Left)) if(HaveUnitsinEnemyRange(Worker)) (train(Worker,11,Left))"
P23,6.0,10.0,3.0,1.0,20.0,L8x8-31696609,ME,"for(u) (train(Worker,2,Left) attack(Worker,closest,u)) for(u) (if(HaveUnitsinEnemyRange(Worker,u)) (train(Worker,5,Right)))"
P24,9.5,10.0,7.5,6.0,33.0,L8x8-31696645,ME,"for(u) (if(HaveUnitsToDistantToEnemy(Worker,2,u)) (attack(Worker,closest,u)) train(Worker,15,Down) harvest(1,u)) for(u) (harvest(4,u)) if(HaveUnitsinEnemyRange(Worker)) (attack(Worker,strongest)) (moveToUnit(Worker,Ally,farthest))"
